location,size,total_sqft,bath,balcony,price
Electronic City Phase II,2,1056,2,1,3907000
Chikka Tirupathi,4,2600,5,3,12000000
Uttarahalli,3,1440,2,3,6200000
Lingadheeranahalli,3,1521,3,1,9500000
Kothanur,2,1200,2,1,5100000
Whitefield,2,1170,2,1,3800000
Old Airport Road,4,2732,4,2,20400000
Rajaji Nagar,4,3300,4,2,60000000
Marathahalli,3,1310,3,1,6325000
Gandhi Bazar,6,1020,6,2,37000000
Whitefield,3,1800,2,2,7000000
Whitefield,4,2785,5,3,29500000
7th Phase JP Nagar,2,1000,2,1,3800000
Gottigere,2,1100,2,2,4000000
Sarjapur,3,2250,3,2,14800000
Mysore Road,2,1175,2,2,7350000
Bisuvanahalli,3,1180,3,2,4800000
Raja Rajeshwari Nagar,3,1540,3,3,6000000
Ramakrishnappa Layout,3,2770,4,2,29000000
Manayata Tech Park,2,1100,2,2,4800000
Kengeri,1,600,1,1,1500000
Binny Pete,3,1755,3,1,12200000
Thanisandra,4,2800,5,2,38000000
Bellandur,3,1767,3,1,10300000
 Thanisandra,1,510,1,0,2525000
Mangammanapalya,3,1250,3,2,5600000
Electronic City,2,660,1,1,2310000
Whitefield,3,1610,3,2,8100000
Ramagondanahalli,2,1151,2,2,4877000
Electronic City,3,1025,2,1,4700000
Bisuvanahalli,3,1075,2,1,3500000
Hebbal,3,1760,2,2,12300000
Raja Rajeshwari Nagar,3,1693,3,3,5739000
Kasturi Nagar,3,1925,3,2,12500000
Kanakpura Road,2,700,2,1,3600000
Electronics City Phase 1,2,1070,2,1,4550000
Kundalahalli,3,1724,3,2,12500000
Chikkalasandra,3,1290,2,2,5612000
Uttarahalli,2,1143,2,2,4500000
Murugeshpalya,2,1296,2,2,8100000
Sarjapur  Road,3,1254,3,2,3800000
Ganga Nagar,1,600,1,0,3800000
Yelahanka,1,660,1,0,4800000
Kanakpura Road,2,1331,2,2,9179000
HSR Layout,8,600,9,2,20000000
Doddathoguru,2,970,2,0,3300000
Whitefield,2,1459,2,1,9482000
KR Puram,2,800,1,1,13000000
Himagiri Meadows,2,869,2,1,3600000
Adarsh Nagar,2,1270,2,1,5000000
Bhoganhalli,3,1670,3,1,9900000
Whitefield,3,2010,3,2,9100000
Lakshminarayana Pura,2,1185,2,2,7500000
Yelahanka,3,1600,2,3,7500000
Begur Road,2,1200,2,2,4400000
Ramakrishnappa Layout,2,1500,2,2,18500000
Murugeshpalya,6,1407,4,1,15000000
Govindaraja Nagar Ward,2,840,2,2,4500000
Tharabanahalli,3,4395,3,2,24000000
Ganga Nagar,2,845,2,1,5500000
Whitefield,4,5700,5,3,65000000
Varthur,2,1160,2,2,4400000
Bommanahalli,8,3000,8,0,14000000
Doddathoguru,2,1100,2,1,6200000
Gunjur,2,1140,2,3,4300000
Marathahalli,2,1220,2,1,5700000
Devarachikkanahalli,8,1350,7,0,8500000
Kanakpura Road,2,1005,2,1,3668000
Double Road,3,500,3,2,10000000
Begur Road,2,1358,2,1,8058000
Hegde Nagar,3,1569,3,1,10100000
Haralur Road,2,1240,2,1,7000000
Hennur Road,3,2089,3,2,14000000
Kothannur,2,1206,2,1,4823000
Kalena Agrahara,2,1150,2,3,4000000
Cholanayakanahalli,3,2511,3,3,20500000
Kaval Byrasandra,2,460,1,0,2200000
ISRO Layout,6,4400,6,3,25000000
Kodanda Reddy Layout,3,1660,2,2,10500000
Yelahanka,2,1326,2,2,7800000
Garudachar Palya,3,1325,2,2,6080000
EPIP Zone,3,1499,5,2,10200000
Hegde Nagar,6,3000,7,2,21000000
Kanakpura Road,3,1665,3,2,8800000
Dasanapura,2,708,2,2,3700000
Kasavanhalli,2,1060,2,2,5806000
Rajaji Nagar,6,710,6,3,16000000
Sanjay nagar,2,1000,2,2,7000000
Electronic City,2,1000,2,1,2888000
 Mysore Highway,3,1450,2,2,7000000
ISRO Layout,4,1200,4,2,15500000
Thanisandra,2,1296,2,3,8000000
Domlur,3,1540,3,2,9000000
Kengeri,4,2894,4,1,24500000
Sarjapura - Attibele Road,3,1330,2,1,4800000
Devasthanagalu,2,1200,2,1,6500000
T Dasarahalli,3,1200,3,1,9000000
Yeshwanthpur,3,2502,3,3,13800000
Chandapura,2,650,1,1,1700000
Kothanur,3,2400,2,1,15000000
Green View Layout,2,1007,2,2,4300000
Shantiniketan Layout,2,1200,2,2,5000000
Peenya,2,966,2,2,4990000
Nagarbhavi,3,1630,2,1,9800000
Rajaji Nagar,3,1640,3,2,22900000
Jalahalli West,2,782,2,2,5568000
Devanahalli,2,1260,2,2,6678000
Lakshmiamma Garden,3,1800,3,3,12000000
Byatarayanapura,3,1413,2,2,7500000
Whitefield,2,1116,2,1,5191000
Electronic City,3,1530,2,1,4590000
Ramamurthy Nagar,4,3700,4,1,22500000
Sarjapur  Road,3,2497,3,2,14000000
Kengeri,3,1540,2,3,6400000
Thanisandra,3,1436,3,1,7475000
Malleshwaram,2,1100,2,2,7500000
Hennur Road,2,276,3,3,2300000
Thanisandra,3,1427,3,2,12000000
Akshaya Nagar,3,2061,3,1,20000000
Shampura,4,2650,4,2,15000000
Devanahalli,3,1282,2,2,6852000
Kadugodi,2,1050,2,1,3400000
LB Shastri Nagar,3,1600,3,2,6500000
Vajarahalli,2,945,2,1,5400000
Hormavu,2,1500,2,1,7800000
Vishwapriya Layout,7,950,7,0,11500000
Peenya,3,1870,3,3,11000000
Sarjapur,3,1600,3,1,7500000
Electronic City,2,880,1,1,1650000
Ramaswamy Palya - Kammanahalli Main Road,4,1200,4,0,21000000
Kudlu Gate,3,1535,3,2,8300000
Kanakpura Road,2,950,2,1,5700000
Devanahalli,2,1360,2,1,6500000
Bommasandra Industrial Area,3,1280,3,1,5040000
Chandra Layout,3,1260,2,2,8505000
Hennur Road,8,5000,8,2,25000000
Yelahanka,5,3050,5,1,21300000
Kasavanhalli,3,1563,3,1,10500000
ISRO Layout,2,1000,2,1,6000000
Anandapura,2,1167,2,1,4376000
Vishveshwarya Layout,7,4000,7,2,22500000
Kothanur,3,1828,3,2,11000000
Kengeri Satellite Town,2,890,2,1,3500000
Basavanapura,3,1612,3,3,4674000
Dinnur,6,1034,5,2,18500000
Mysore Road,3,1710,4,2,9131000
Kannamangala,2,957,2,1,5800000
 Devarachikkanahalli,3,1250,2,3,4400000
Sanjeevini Nagar,3,2795,4,2,23500000
Hulimavu,2,1125,2,2,5000000
Electronic City Phase II,2,1020,2,1,3060000
Kalena Agrahara,2,1200,2,2,5000000
Thanisandra,3,1735,3,3,13500000
Thanisandra,3,2050,3,1,14500000
Mahalakshmi Layout,4,3750,4,0,76000000
Yarandahalli,3,1350,2,3,4800000
Hosa Road,2,1063,2,1,3200000
Keshava Nagar,3,1904,3,1,15000000
Whitefield,4,4200,4,2,42000000
RMV Extension,3,2000,3,1,17500000
Tejaswini Nagar,3,1425,2,2,7500000
Electronic City,3,1500,2,1,6450000
Electronic City,2,1060,2,1,6000000
Jai Bheema Nagar,3,1470,2,2,7000000
Kothnur Narayanapura,6,1300,6,0,9900000
Attibele,1,450,1,1,1100000
Electronic City,2,1152,2,1,6450000
Electronic City,3,1350,2,1,5600000
CV Raman Nagar,3,1550,3,3,6500000
CHIKKATIRUPATHI,3,1500,3,2,10000000
Kumaraswami Layout,5,600,3,2,8500000
Nagavara,1,400,1,0,1400000
Malleshwaram,1,705,1,2,6700000
Electronic City,2,770,1,1,3600000
Hulimavu,2,1242,2,3,5100000
Hebbal Kempapura,3,1700,3,2,15500000
Thanisandra,3,2144,3,2,14500000
Vijayanagar,3,1704,3,2,11000000
Electronic City,2,1070,2,1,5200000
8th block Koramangala,3,1846,3,2,30000000
Jakkuru Layout,2,1340,2,2,5570000
Electronic City,2,1025,2,1,4600000
Marathahalli,2,1200,2,2,5200000
Kanakpura Road,4,2250,4,1,11000000
Pattandur Agrahara,3,1550,2,3,8000000
Bellandur,4,1200,5,2,32500000
Ejipura,7,1800,7,1,25000000
Marathahalli,2,1200,2,2,6000000
Yelahanka,2,1327,2,2,9800000
Kothanur,2,1186,2,2,5800000
MS Pallya,3,1783,3,1,11500000
HSR Layout,3,1400,3,2,5600000
Nagasandra,2,980,2,1,4800000
EPIP Zone,2,1285,2,2,8200000
Langford Town,3,912,2,1,7000000
Whitefield,2,1225,2,2,4760000
Whitefield,2,1075,2,1,5300000
Kadugodi,3,1260,2,2,5400000
Yelahanka,3,1282,2,2,4870000
Kogilu,3,1909,3,2,8800000
Panathur,2,1359,2,1,8700000
Nagondanahalli,2,1207,2,2,4350000
Padmanabhanagar,4,1736,6,0,19000000
1st Block Jayanagar,4,2850,4,1,42800000
Kammasandra,3,1595,3,2,6500000
"Off Sarjapur Road, ",3,1798,3,2,8900000
Electronics City Phase 1,3,1475,3,2,7829000
Tala Cauvery Layout,3,1580,3,3,10000000
Dasarahalli,2,1295,2,1,6500000
Magadi Road,6,3600,6,0,14100000
Electronic City,1,589,1,1,2700000
Ngef Layout,3,1415,3,3,7800000
Sarjapur  Road,3,1787,3,2,9829000
Sarjapur  Road,3,1787,3,2,12500000
Koramangala,3,1475,2,3,9000000
"Lakshminarayanapura, Electronic City Phase 2",4,2000,4,1,7550000
Sarjapur  Road,2,984,2,1,4428000
Muthurayya Swamy Layout,3,2405,4,2,26000000
7th Phase JP Nagar,2,1080,2,2,7200000
Shantiniketan Layout,2,1500,2,1,11500000
Hebbal,3,1900,3,2,11900000
Dommasandra,2,805,2,1,2214000
Budigere,2,1153,2,2,5640000
Dodda Nekkundi Extension,2,1148,2,2,6000000
Mylasandra,2,1110,2,2,5500000
Electronic City,2,1100,2,2,4200000
Kalyan nagar,2,1290,2,2,11000000
Dr Shivarama Karantha Nagar,3,1500,2,1,6500000
Bank Of Baroda Colony,2,1080,2,2,3900000
Vijayanagar,3,1933,3,1,12900000
Ramamurthy Nagar,5,3500,5,2,15000000
Kullappa Colony,2,1060,2,2,6000000
Chandapura,1,645,1,1,1645000
Mukkutam Nagar,8,2600,8,2,18000000
Chandapura,1,645,1,1,1645000
Ashwath Nagar,3,1644,3,3,8400000
Ncpr Industrial Layout,2,1285,2,3,7250000
Electronic City,3,1200,3,1,9000000
Electronic City,2,910,2,1,4000000
Kothanur,3,1577,3,1,7000000
Meenakunte,3,4050,3,2,28000000
OMBR Layout,3,2420,3,2,18500000
Chandapura,2,800,1,1,2000000
Anand Nagar,2,1060,2,2,5500000
7th Phase JP Nagar,2,1270,2,2,9300000
Shree Ananth Nagar Layout,2,900,2,2,2250000
Kundalahalli Colony,2,1280,2,1,6900000
Horamavu Agara,4,1200,2,0,9500000
Sarjapur  Road,2,1025,2,2,3600000
Electronic City,2,1108,2,1,6300000
MCECHS  layout,5,1200,5,2,17000000
Coffee Board Layout,3,3045,3,2,17000000
Ambedkar Nagar,4,2900,3,2,30000000
Vijayanagar,3,1500,3,2,7550000
Raja Rajeshwari Nagar,2,1295,2,2,4390000
Budigere,2,1162,2,1,5990000
Sarjapur  Road,2,1035,2,2,4920000
Attibele,4,1600,4,0,5280000
KUDLU MAIN ROAD,3,1464,3,2,4600000
Hennur Road,3,1866,2,2,6158000
Geleyara Balaga Layout,2,700,1,1,2600000
Kalena Agrahara,3,1804,3,2,12000000
Sarjapur,2,913,2,1,3200000
Talaghattapura,3,1868,3,2,13100000
Kengeri Satellite Town,2,883,2,1,4500000
Sundara Nagar,2,900,2,1,11000000
Kogilu,3,1664,2,3,7395000
Hegde Nagar,3,2026,3,2,13200000
Balagere,2,1210,2,1,8090000
Meenakunte,4,4111,4,2,25000000
Kadugodi,3,1762,3,3,9145000
Jigani,3,1252,3,3,5500000
